column_name,data_product,table_count,description,assigned_to,status,origin,orphaned,updated_by,updated_at
PRODUCT_ID,SALES_DB,2,Unique identifier for a product SKU.,Priya,Submitted,structure,False,Priya,2026-06-23
PRODUCT_NAME,SALES_DB,1,Human-readable product name.,Deepak,In progress,structure,False,Deepak,2026-06-22
QUANTITY,SALES_DB,1,Number of units ordered for this line item.,Marcus,Submitted,structure,False,Marcus,2026-06-21
SEGMENT,SALES_DB,1,Marketing-assigned customer segment label.,Elena,In progress,structure,False,Elena,2026-06-20
SSN,HR_DB,1,Social Security Number. Restricted access.,Priya,Submitted,structure,False,Priya,2026-06-19
STATE,SALES_DB,1,Two-letter US state code.,Deepak,In progress,structure,False,Deepak,2026-06-18
STATUS,"FINANCE_DB, SALES_DB",2,"Current lifecycle status of the record (e.g. OPEN, CLOSED).",Marcus,Submitted,structure,False,Marcus,2026-06-17
TAX_ID,FINANCE_DB,1,Vendor's tax identification number.,Elena,In progress,structure,False,Elena,2026-06-16
TOTAL_AMOUNT,SALES_DB,1,"Total order value in USD, including tax.",Priya,Submitted,structure,False,Priya,2026-06-15
UNIT_PRICE,SALES_DB,2,"List price per unit at time of order, in USD.",Deepak,In progress,structure,False,Deepak,2026-06-14
VENDOR_ID,FINANCE_DB,2,Unique identifier for a vendor.,Marcus,Approved,structure,False,Marcus,2026-06-13
VENDOR_NAME,FINANCE_DB,1,Legal name of the vendor.,Elena,In progress,structure,False,Elena,2026-06-12
ACCOUNT_CODE,FINANCE_DB,1,,,Unassigned,structure,False,,
ADDRESS,SALES_DB,1,,Deepak,Assigned,structure,False,Deepak,2026-07-23
CONTACT_EMAIL,FINANCE_DB,1,Draft: Contact Email — needs review.,Marcus,In progress,structure,False,Marcus,2026-07-22
COST_CENTER,HR_DB,1,,,Unassigned,structure,False,,
CREDIT_AMOUNT,FINANCE_DB,1,,Priya,Assigned,structure,False,Priya,2026-07-20
DEBIT_AMOUNT,FINANCE_DB,1,Draft: Debit Amount — needs review.,Deepak,In progress,structure,False,Deepak,2026-07-19
GL_ENTRY_ID,FINANCE_DB,1,,,Unassigned,structure,False,,
METHOD,FINANCE_DB,1,,Elena,Assigned,structure,False,Elena,2026-07-17
ORDER_COUNT,SALES_DB,1,Draft: Order Count — needs review.,Priya,In progress,structure,False,Priya,2026-07-16
PERIOD,SALES_DB,1,,,Unassigned,structure,False,,
SUPPLIER_ID,SALES_DB,1,,Marcus,Assigned,structure,False,Marcus,2026-07-14
TAX_WITHHELD,HR_DB,1,Draft: Tax Withheld — needs review.,Elena,In progress,structure,False,Elena,2026-07-13
TOTAL_SALES,SALES_DB,1,,,Unassigned,structure,False,,
NET_REVENUE_MARGIN,FINANCE_DB,0,"Business-defined ratio of net revenue to gross revenue, used in board reporting. Not a physical column — defined here for the glossary.",Priya,Submitted,manual,False,Priya,2026-07-16
LEGACY_ACCOUNT_CODE,FINANCE_DB,1,"Legacy GL account code, superseded by ACCOUNT_CODE.",Marcus,Approved,structure,True,Marcus,2026-01-07
