QUALIFIED_OBJECT_NAME,COLUMN_NAME,ORDINAL_POSITION,DESCRIPTION
SALES_DB.ANALYTICS.SALES_SUMMARY,CUSTOMER_ID,1,"Warehouse comment: surrogate key, customers table."
SALES_DB.ANALYTICS.SALES_SUMMARY,PERIOD,2,
SALES_DB.ANALYTICS.SALES_SUMMARY,TOTAL_SALES,3,
SALES_DB.ANALYTICS.SALES_SUMMARY,ORDER_COUNT,4,
HR_DB.PUBLIC.EMPLOYEES,EMPLOYEE_ID,1,Warehouse comment: HR system employee key.
HR_DB.PUBLIC.EMPLOYEES,FIRST_NAME,2,
HR_DB.PUBLIC.EMPLOYEES,LAST_NAME,3,
HR_DB.PUBLIC.EMPLOYEES,EMAIL,4,"Warehouse comment: contact email, unvalidated."
HR_DB.PUBLIC.EMPLOYEES,HIRE_DATE,5,
HR_DB.PUBLIC.EMPLOYEES,DEPARTMENT_ID,6,
HR_DB.PUBLIC.EMPLOYEES,MANAGER_ID,7,
HR_DB.PUBLIC.EMPLOYEES,SSN,8,
HR_DB.PUBLIC.DEPARTMENTS,DEPARTMENT_ID,1,
HR_DB.PUBLIC.DEPARTMENTS,DEPARTMENT_NAME,2,
HR_DB.PUBLIC.DEPARTMENTS,COST_CENTER,3,
HR_DB.PUBLIC.PAYROLL,PAYROLL_ID,1,
HR_DB.PUBLIC.PAYROLL,EMPLOYEE_ID,2,Warehouse comment: HR system employee key.
HR_DB.PUBLIC.PAYROLL,PAY_PERIOD,3,
HR_DB.PUBLIC.PAYROLL,GROSS_PAY,4,
HR_DB.PUBLIC.PAYROLL,NET_PAY,5,
HR_DB.PUBLIC.PAYROLL,TAX_WITHHELD,6,
FINANCE_DB.PUBLIC.INVOICES,INVOICE_ID,1,Warehouse comment: AP invoice surrogate key.
FINANCE_DB.PUBLIC.INVOICES,CUSIP,2,Warehouse comment: 9-char security identifier.
FINANCE_DB.PUBLIC.INVOICES,VENDOR_ID,3,
FINANCE_DB.PUBLIC.INVOICES,INVOICE_DATE,4,
FINANCE_DB.PUBLIC.INVOICES,AMOUNT,5,
FINANCE_DB.PUBLIC.INVOICES,STATUS,6,Warehouse comment: free-text lifecycle state.
FINANCE_DB.PUBLIC.PAYMENTS,PAYMENT_ID,1,
FINANCE_DB.PUBLIC.PAYMENTS,CUSIP,2,Warehouse comment: 9-char security identifier.
FINANCE_DB.PUBLIC.PAYMENTS,INVOICE_ID,3,Warehouse comment: AP invoice surrogate key.
FINANCE_DB.PUBLIC.PAYMENTS,PAYMENT_DATE,4,
FINANCE_DB.PUBLIC.PAYMENTS,AMOUNT_PAID,5,
FINANCE_DB.PUBLIC.PAYMENTS,METHOD,6,
FINANCE_DB.PUBLIC.VENDORS,VENDOR_ID,1,
FINANCE_DB.PUBLIC.VENDORS,CUSIP,2,Warehouse comment: 9-char security identifier.
FINANCE_DB.PUBLIC.VENDORS,VENDOR_NAME,3,
FINANCE_DB.PUBLIC.VENDORS,TAX_ID,4,
FINANCE_DB.PUBLIC.VENDORS,CONTACT_EMAIL,5,
FINANCE_DB.REPORTING.GL_ENTRIES,GL_ENTRY_ID,1,
FINANCE_DB.REPORTING.GL_ENTRIES,CUSIP,2,Warehouse comment: 9-char security identifier.
FINANCE_DB.REPORTING.GL_ENTRIES,ACCOUNT_CODE,3,
FINANCE_DB.REPORTING.GL_ENTRIES,DEBIT_AMOUNT,4,
FINANCE_DB.REPORTING.GL_ENTRIES,CREDIT_AMOUNT,5,
FINANCE_DB.REPORTING.GL_ENTRIES,POSTED_AT,6,
